scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
240hz-loss1,ENet,1,2400,240,10,1,2400,10011,239.736,13,36,50,58692,4782,53,562.992,1
240hz-loss1,ENet,2,2400,240,10,1,2400,10006,239.856,13,27,47,58352,4725,41,533.017,1
240hz-loss1,ENet,3,2400,240,10,1,2400,10010,239.760,13,25,45,58758,4800,50,605.648,1
240hz-loss1,ENet,4,2400,240,10,1,2400,10017,239.593,13,34,47,58754,4778,55,519.513,1
240hz-loss1,ENet,5,2400,240,10,1,2400,10007,239.832,13,35,50,58570,4742,52,686.111,1
240hz-loss1,KCP-default,1,2400,240,10,1,2400,54911,43.707,33730,44180,44789,126760,537,8,277.717,1
240hz-loss1,KCP-default,2,2400,240,10,1,2400,31314,76.643,15293,20768,21173,124800,314,0,165.782,1
240hz-loss1,KCP-default,3,2400,240,10,1,2400,49311,48.671,28313,38655,39220,127172,484,6,232.636,1
240hz-loss1,KCP-default,4,2400,240,10,1,2400,36610,65.556,19621,26115,26552,125136,365,1,180.801,1
240hz-loss1,KCP-default,5,2400,240,10,1,2400,50412,47.608,29019,39550,40157,126852,499,5,223.162,1
240hz-loss1,KCP-fast,1,2400,240,10,1,2400,10014,239.664,17,23,55,127128,1852,20,169.617,1
240hz-loss1,KCP-fast,2,2400,240,10,1,2400,10013,239.688,17,24,55,128184,1842,15,202.118,1
240hz-loss1,KCP-fast,3,2400,240,10,1,2400,10015,239.641,17,24,58,127952,1878,20,188.980,1
240hz-loss1,KCP-fast,4,2400,240,10,1,2400,10012,239.712,17,23,55,127680,1862,16,180.635,1
240hz-loss1,KCP-fast,5,2400,240,10,1,2400,10012,239.712,17,32,59,128068,1860,24,175.173,1
240hz-loss5,zcrudp,1,2400,240,10,5,2400,10010,239.760,14,46,54,45988,5403,262,427.140,1
240hz-loss5,zcrudp,2,2400,240,10,5,2400,10010,239.760,15,49,151,48876,5599,277,437.914,1
240hz-loss5,zcrudp,3,2400,240,10,5,2400,10031,239.258,14,48,111,46964,5541,276,503.983,1
