scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
240hz-loss1,zcrudp,4,2400,240,10,1,1133,120000,9.442,69415,111611,113635,117968,14054,147,13699.147,0
240hz-loss1,zcrudp,5,2400,240,10,1,1646,120000,13.717,56515,106182,112389,163448,19298,205,9201.679,0
240hz-loss1,ENet,1,2400,240,10,1,2400,10011,239.736,13,36,50,58692,4782,53,586.712,1
240hz-loss1,ENet,2,2400,240,10,1,2400,10006,239.856,13,27,47,58352,4725,41,544.727,1
240hz-loss1,ENet,3,2400,240,10,1,2400,10010,239.760,13,25,45,58758,4800,50,579.707,1
240hz-loss1,ENet,4,2400,240,10,1,2400,10017,239.593,13,34,47,58754,4778,55,566.298,1
240hz-loss1,ENet,5,2400,240,10,1,2400,10007,239.832,13,35,50,58570,4742,52,586.615,1
240hz-loss1,KCP-default,1,2400,240,10,1,2400,54911,43.707,33730,44180,44789,126760,537,8,259.365,1
240hz-loss1,KCP-default,2,2400,240,10,1,2400,31314,76.643,15293,20768,21173,124800,314,0,211.816,1
240hz-loss1,KCP-default,3,2400,240,10,1,2400,49311,48.671,28313,38655,39220,127172,484,6,241.398,1
240hz-loss1,KCP-default,4,2400,240,10,1,2400,36610,65.556,19621,26115,26552,125136,365,1,189.004,1
240hz-loss1,KCP-default,5,2400,240,10,1,2400,50412,47.608,29019,39550,40157,126852,499,5,249.748,1
240hz-loss1,KCP-fast,1,2400,240,10,1,2400,10014,239.664,17,23,55,127128,1852,20,183.126,1
240hz-loss1,KCP-fast,2,2400,240,10,1,2400,10013,239.688,17,24,55,128184,1842,15,207.662,1
240hz-loss1,KCP-fast,3,2400,240,10,1,2400,10015,239.641,17,24,58,127952,1878,20,185.974,1
240hz-loss1,KCP-fast,4,2400,240,10,1,2400,10012,239.712,17,23,55,127680,1862,16,182.672,1
240hz-loss1,KCP-fast,5,2400,240,10,1,2400,10012,239.712,17,32,59,128068,1860,24,181.882,1
240hz-loss5,zcrudp,1,2400,240,10,5,164,39106,4.194,6319,25189,38293,23488,2798,144,27948.689,0
240hz-loss5,zcrudp,2,2400,240,10,5,152,34061,4.463,315,13342,26892,18520,2134,88,23755.928,0
240hz-loss5,zcrudp,3,2400,240,10,5,120,34687,3.460,1407,27050,27633,19812,2343,116,32287.375,0
